,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
12422,2020-09-30,DE-BW,83.068708,3454176.261454,2301365.9123529997,11.991048000000035,0.000103,15.099145000000002,1.6501029999999999
12423,2020-09-30,DE-BY,86.403462,2332634.6614650004,2286680.844487,11.297627999999975,0.00042,10.850702,1.32388
12424,2020-09-30,DE-HB,85.637819,2205583.514423,2430185.310897,15.467624000000058,4.3e-05,9.512821,2.793323
12425,2020-09-30,DE-HE,87.547028,827292.2151489999,2349940.049555,12.562725,0.000217,9.177844,2.0213509999999997
12426,2020-09-30,DE-HH,84.971461,1733530.505682,2427400.814394,14.916919000000007,0.00022799999999999999,10.568182,1.8640150000000002
12427,2020-09-30,DE-MV,84.013576,5888961.837702,2427785.4920759997,13.047495000000026,2.8999999999999997e-05,13.188661999999999,1.612579
12428,2020-09-30,DE-NI,86.579976,2987331.75932,2414104.180373,14.363310000000013,0.00022200000000000003,9.45905,2.168591
12429,2020-09-30,DE-NW,85.958398,1888077.7577119998,2383633.921174,14.195131000000003,0.000576,11.709263,2.3980810000000004
12430,2020-09-30,DE-RP,89.027863,1385167.737009,2344862.256644,13.14758599999999,0.000665,8.657278999999999,1.837923
12431,2020-09-30,DE-SH,87.33395,2488013.185629,2429948.688896,14.422175999999979,0.000334,8.857909,2.388355
12432,2020-09-30,DE-SL,91.055649,1563639.925611,2346202.2445650003,13.38775800000002,0.000562,7.779891,1.782937
12433,2020-09-30,DE-SN,84.739087,6163136.195351999,2353613.386885,11.239620000000059,2.6000000000000002e-05,13.758913,1.7841220000000002
12434,2020-09-30,DE-ST,82.592433,7885799.914123,2402514.943178,12.297213,2.6000000000000002e-05,12.335785000000001,1.2896299999999998
12435,2020-09-30,DE-TH,88.186727,1899333.236534,2334926.8348,11.963152999999977,0.000321,7.396764999999999,1.791667
12474,2020-10-01,DE-BB,88.477514,2341637.2755299998,2397514.577517,12.151741000000015,0.00027400000000000005,9.220186,1.7548150000000002
12475,2020-10-01,DE-BE,88.78065,1619294.393357,2402360.515734,12.450322000000028,7.900000000000001e-05,11.538461999999999,2.109178
12476,2020-10-01,DE-BW,85.152376,6427455.093541,2280205.115611,11.960395000000062,0.0013800000000000002,11.914722,2.377268
12477,2020-10-01,DE-BY,85.167177,7061447.967803,2265834.9928450002,11.086870000000033,0.000246,13.708304,1.7328459999999999
12478,2020-10-01,DE-HB,80.792947,3418433.727564,2404493.474359,14.904061000000013,0.000644,10.75641,4.200107
12479,2020-10-01,DE-HE,87.26082099999999,3373138.429557,2325728.0358470003,12.313062000000059,0.001098,8.582067,3.071046
12480,2020-10-01,DE-HH,79.00893,6904497.617424001,2404033.496212,13.686362000000031,0.00011200000000000001,14.954545000000001,3.6166980000000004
12481,2020-10-01,DE-MV,87.849492,2449132.889668,2406653.139363,13.304170000000056,0.00028,9.654069,2.4516139999999997
12482,2020-10-01,DE-NI,81.84976800000001,4662459.766447,2389053.631579,13.884295000000066,0.000834,11.361054,3.4750410000000005
12483,2020-10-01,DE-NW,84.77493100000001,2866670.7611419996,2357398.503212,13.018939999999986,0.0038799999999999998,11.742394,3.5210489999999997
12484,2020-10-01,DE-RP,91.317859,3114106.934203,2320111.645081,11.461090000000013,0.0037359999999999997,9.158271000000001,2.783414
12485,2020-10-01,DE-SH,82.450317,5153771.620867,2407376.8405939997,13.880303000000026,0.000151,11.997319000000001,4.367432
12486,2020-10-01,DE-SL,92.39932900000001,2671121.94803,2322066.896739,11.421852000000001,0.004405,10.614130000000001,3.132733
12487,2020-10-01,DE-SN,83.519693,7078974.530501,2332110.469121,11.777266999999995,4.7e-05,14.648132,1.7246270000000001
12488,2020-10-01,DE-ST,80.098221,8060900.034204,2379784.832107,12.730673000000024,2e-05,14.454579,2.196069
12489,2020-10-01,DE-TH,82.08985,6970088.223002001,2312192.906993,12.216041000000018,9.1e-05,13.418648999999998,2.745324
12528,2020-10-02,DE-BB,86.680746,1937833.690576,2384747.856076,13.699804000000029,0.000475,7.335174,3.874451
12529,2020-10-02,DE-BE,85.435344,935345.637675,2389458.421329,14.062704999999994,0.0002,8.335664,4.497756
12530,2020-10-02,DE-BW,77.451605,1579843.5045639998,2249222.0270970003,13.587435000000028,0.000517,13.775364000000001,3.9095980000000004
12531,2020-10-02,DE-BY,76.318389,4113613.117582,2241322.868056,13.791610999999989,0.000262,13.867476000000002,3.560665
12532,2020-10-02,DE-HB,84.2149,5421926.6410260005,2392785.012821,13.732214999999997,0.000122,10.461538000000001,4.369819000000001
12533,2020-10-02,DE-HE,77.385838,4965800.043535,2302534.033346,14.148155000000031,0.0007559999999999999,10.170803999999999,4.358128
12534,2020-10-02,DE-HH,83.67058399999999,2365439.462121,2392117.297348,14.07379700000007,0.000826,7.878788,4.131944
12535,2020-10-02,DE-MV,85.72255799999999,2485099.694034,2395959.369095,14.193209000000024,0.000396,6.803414,4.160292
12536,2020-10-02,DE-NI,84.255634,5248971.415980999,2375486.189693,13.558123000000023,0.000143,10.015464999999999,4.134504
12537,2020-10-02,DE-NW,79.784639,4159598.3768589995,2337796.702896,13.477127999999993,0.00043200000000000004,13.176920999999998,4.028364
12538,2020-10-02,DE-RP,82.290988,1761388.5970349999,2293301.7169770002,12.957150000000013,0.002194,12.8929,4.020455
12539,2020-10-02,DE-SH,85.322348,2103707.416778,2396980.062221,14.176470000000052,0.0011359999999999999,6.966488000000001,5.11679
12540,2020-10-02,DE-SL,87.040329,610599.100374,2292787.138587,12.293237000000033,0.002955,13.798913,4.1474519999999995
12541,2020-10-02,DE-SN,81.867458,5817778.904924,2316409.513158,13.777496000000042,2.4e-05,12.370543,3.7298
12542,2020-10-02,DE-ST,83.677513,4668559.772159,2364152.295145,13.763044000000036,1.9e-05,9.601324,3.764543
12543,2020-10-02,DE-TH,79.819125,5943518.483825,2292991.569577,13.867698000000019,1.1e-05,11.088486999999999,4.062567
12582,2020-10-03,DE-BB,78.88070400000001,7163895.45054,2367638.325822,16.58529100000004,0.00027,12.273411999999999,4.277653
12583,2020-10-03,DE-BE,78.159442,7664264.171328999,2371930.4527970003,16.861358999999993,0.000267,14.027972,4.844784
12584,2020-10-03,DE-BW,82.915409,3460370.6071470003,2250639.418997,10.188675000000046,0.007125,10.57615,3.488206
12585,2020-10-03,DE-BY,77.87405600000001,2997887.56713,2235765.5999580002,12.059321000000011,0.0034200000000000003,11.730906,3.426072
12586,2020-10-03,DE-HB,83.495085,1477689.3653850001,2376414.666667,15.04326500000002,0.00285,7.256410000000001,5.676549
12587,2020-10-03,DE-HE,84.441797,3083521.701973,2295217.9887,11.948841000000016,0.003084,9.078548,3.9836
12588,2020-10-03,DE-HH,81.501166,2212085.949811,2375424.712121,15.587027999999975,0.00213,6.515152,5.241288
12589,2020-10-03,DE-MV,83.01483499999999,2447229.081778,2378667.110104,15.792304999999999,0.0005650000000000001,9.216092999999999,5.133657
12590,2020-10-03,DE-NI,83.62149000000001,3105047.917558,2360201.453399,14.53155700000002,0.004065,8.485088000000001,4.87761
12591,2020-10-03,DE-NW,85.95571600000001,1940245.649214,2327816.615393,12.680612999999994,0.005465,9.402073,3.493447
